run,window,start_s,end_s,signal,runtime_status,raw_units_from_inf,min,mean,max
stage4,pre_first_trip_redistribution,3.5,7.5,PAPER_OVL1_BRK_STATE,runtime_unavailable,,,,
stage9,pre_fault,0.0,0.49,VIBR1_2,readable,,7.9015918286441e-05,0.8775208022389647,1.0107344819026
stage9,pre_fault,0.0,0.49,PIBR1_2,readable,,-21.898131521084,-2.508399950913961,-6.1758973797331e-06
stage9,pre_fault,0.0,0.49,QIBR1_2,readable,,-0.040404686668388,25.79633460081187,37.382797847965
stage9,pre_fault,0.0,0.49,DFIG_LVRT_LOWV,readable,logic,0.0,0.2,1.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.08,1.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TIMER_S,readable,s,0.0,0.008999550000000515,0.08999750000002
stage9,pre_fault,0.0,0.49,DFIG_LVRT_DURATION_EXCEEDED,readable,logic,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_REQUEST,readable,,0.0,0.06,1.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_LATCH,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_FINAL_BRK_CMD,readable,logic,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_FINAL_CMD_BOOL,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_BRK_OPEN_BOOL,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_CONFIRMED,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_EVENT_VALID,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,readable,,1.0,1.0,1.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_AVAILABLE,readable,,1.0,1.0,1.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,readable,s,-1.0,-0.98,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_EXISTING_BRK_CMD,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TALLOW_S,readable,s,0.625,1.725,2.0
stage9,pre_fault,0.0,0.49,E_28_29_1_A_P,readable,,-5.3412717633,-4.333182099200256,0.0
stage9,pre_fault,0.0,0.49,E_28_29_1_A_Q,readable,,-0.00014505728152382,0.08449965394537463,0.1112751034109
stage9,pre_fault,0.0,0.49,E_28_29_1_B_P,readable,,-5.3785116358898,-4.365071082017044,-2.6957308501233e-27
stage9,pre_fault,0.0,0.49,E_28_29_1_B_Q,readable,,-0.04669264657399,-0.021026809377626177,0.022993262651621
stage9,pre_fault,0.0,0.49,PAPER_OVL1_S_MAX_PU,readable,pu,0.0,4.3650890728098455,5.3786429964945
stage9,pre_fault,0.0,0.49,PAPER_OVL1_LOADING_INDEX_EQ,readable,pu,0.0,0.5544460045841277,0.68318585709206
stage9,pre_fault,0.0,0.49,PAPER_OVL1_ABOVE_THRESHOLD,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,PAPER_OVL1_TIMER_OR_CURVE_STATE,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,PAPER_OVL1_TRIP_REQUEST,readable,,0.0,0.0,0.0
